Performance counter,Mnemonic,Correlation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
DTLB_LOAD_MISSES.STLB_HIT,r6008:u,0.532622083761,-26,-3,710,15,-8,1,7,18,14,35,-6,-81,-63,7,-4,8,-10,6,-4,0,13,15,1,-23,-17,11,18,-38,2,-52,0,-3
DTLB_LOAD_MISSES.PDE_CACHE_MISS,r8008:u,-0.0469240197363,2,3,-2,3,2,1,2,4,1,1,0,0,3,2,3,-1,-2,3,0,4,-1,3,0,5,0,-1,0,4,1,2,3,4
INT_MISC.RECOVERY_CYCLES,r030d:u,0.327386587802,3326,3129,2025,2913,2410,3637,2050,3295,2873,2126,1430,1657,2015,2330,2154,2074,2054,4386,1711,1283,1274,1922,1757,1803,1703,2406,1668,2341,1807,1703,1642,2193
UOPS_ISSUED.ANY,r010e:u,0.751505141733,43054447,43035403,43024819,43020466,43023422,43025941,43011714,43020511,43014924,43010091,43005746,43006179,43008565,43011092,43010638,43009865,43009363,43029344,43004420,43001878,43002522,43007825,43006812,43007142,43007082,43010318,43006616,43008559,43007409,43006315,43004931,43009095
UOPS_ISSUED.FLAGS_MERGE,r100e:u,-0.264546454797,2,-36,-3,0,0,2,-4,2,3,-2,-5,-1,0,-2,87,0,5,0,1,0,1,-1,7,-4,-5,4,1,1,-1,5,3,0
UOPS_ISSUED.SLOW_LEA,r200e:u,-0.251743049533,13,-40,4,0,8,10,-4,16,8,-2,4,3,8,-5,108,7,18,5,8,8,5,9,24,-4,-5,11,15,5,2,12,8,-2
UOPS_ISSUED.SiNGLE_MUL,r400e:u,0.691789553467,5249205,5246029,5246274,5244607,5245585,5245244,5244380,5244525,5244538,5244463,5244487,5244218,5244186,5244451,5247263,5244663,5244626,5244349,5243719,5243761,5243733,5244220,5244237,5244221,5244113,5244098,5244131,5244297,5244330,5243987,5243933,5244600
L2_RQSTS.DEMAND_DATA_RD_MISS,r2124:u,0.637257515743,1425,1270,1284,1095,1092,1215,1119,1116,1212,1118,1135,1239,1251,1164,1232,1137,1133,1141,1071,1148,1148,1141,1159,1149,1148,1152,1162,1148,1150,1168,1165,1143
L2_RQSTS.DEMAND_DATA_RD_HIT,r4124:u,0.0590025712182,619,916,1201,521,681,845,768,816,755,736,689,703,684,697,696,746,686,715,834,721,1101,998,808,981,861,1026,1156,1110,917,793,696,745
L2_RQSTS.ALL_DEMAND_DATA_RD,re124:u,0.288942707808,2040,2203,2480,1619,1823,2107,1953,2014,1908,1862,1835,1980,1918,1891,1866,1934,1865,1858,1909,1859,2252,2136,1969,2140,2010,2175,2322,2265,2073,1961,1861,1895
L2_RQSTS.RFO_HIT,r4224:u,0.492552399819,63845,63807,63993,63502,63605,63601,63655,63725,63649,63695,63707,63580,63744,63668,63689,63702,63633,63644,63708,63697,63696,63706,63656,63211,63662,63585,63654,63495,63546,63670,63659,63636
L2_RQSTS.RFO_MISS,r2224:u,0.812268747916,1718,1735,1532,1450,1460,1475,1377,1337,1306,1268,1247,1485,1371,1358,1330,1338,1383,1320,1300,1318,1348,1279,1329,1462,1292,1294,1365,1420,1331,1339,1310,1310
L2_RQSTS.ALL_RFO,re224:u,0.807104699734,65574,65481,65589,64854,65036,64976,64905,65071,64876,64900,64963,65090,64999,65026,65037,64945,64908,64964,64731,65052,64962,64632,64979,64894,64982,64894,64951,65056,64901,64946,64985,64876
L2_RQSTS.CODE_RD_HIT,r4424:u,-0.333299061842,-2,-1,3,-2,2,5,-1,0,5,2,-2,1,8,12,4,3,5,3,-2,5,-2,3,1,13,1,7,10,12,7,1,3,7
L2_RQSTS.CODE_RD_MISS,r2424:u,-0.31662653647,-2,2,6,5,7,9,1,6,13,5,-1,5,13,16,8,8,11,6,4,6,-2,6,1,15,4,14,17,22,14,3,5,10
L2_RQSTS.ALL_DEMAND_MISS,r2724:u,0.493992859369,3293,2897,2947,2499,2560,2700,2380,2583,2400,2533,2414,2710,2693,2597,2705,2644,2516,2582,2284,2437,2415,3343,2543,2578,2539,2648,2556,2665,2558,2646,3049,2489
L2_RQSTS.ALL_DEMAND_REFERENCES,re724:u,0.733031019772,67915,67704,67950,66585,66932,67023,66787,66990,67066,66668,66855,66864,66981,67067,66832,66822,66703,66857,66539,66791,67171,66896,67081,66993,67002,67016,67304,67255,66972,66899,66881,66723
L2_RQSTS.ALL_CODE_RD,re424:u,-0.186023321358,12,5,4,5,0,5,17,18,13,13,3,7,12,14,10,11,6,11,-5,9,8,14,1,32,14,13,33,12,13,3,3,15
L2_RQSTS.L2_PF_HIT,r5024:u,0.721449324257,4743,3045,3411,2287,2652,3019,2879,2549,2622,2503,2273,2459,2790,2695,2598,2507,2341,2466,2188,2295,2245,2438,2488,2310,2395,2307,2420,2395,2332,2297,2366,2240
L2_RQSTS.L2_PF_MISS,r3024:u,-0.291608838775,129133,128507,128798,128540,129207,129353,129048,129024,129107,129110,129145,129068,129079,129243,129051,129116,128929,129049,128698,128887,128891,128928,128826,128666,128902,128702,128596,128834,128793,128959,128915,128929
L2_RQSTS.ALL_PF,rf824:u,0.195001828816,198131,196106,195013,195854,196682,196240,195933,199218,196329,195730,195740,196037,196061,196236,197190,195534,195616,195962,195407,195530,195224,195388,195435,195107,195419,195051,195060,195176,195360,195436,195475,195430
L2_RQSTS.MISS,r3f24:u,0.173030512035,133977,132257,132747,131634,132320,132174,132094,137327,132314,131963,131826,132095,132246,132255,134749,131643,131732,131891,131454,131700,131793,131960,131992,131828,131959,131776,131851,131813,131944,131695,131848,131613
L2_RQSTS.REFERENCES,rff24:u,0.460302562129,265944,263903,262986,262470,263551,263372,262749,265844,263369,262504,262532,262954,263061,263258,263358,262231,262320,262842,262101,262396,262595,262352,262361,262086,262320,262139,262369,262367,262427,262233,262365,262079
L2_DEMAND_RQSTS.WB_HIT,r5027:u,-0.122228167022,64875,65169,65143,65296,65344,65327,65378,63509,65268,65417,65438,65320,65258,65267,64865,65392,65393,64640,65090,65375,65426,65453,65391,65438,65445,65395,65312,65247,65180,65353,65255,65368
LONGEST_LAT_CACHE.REFERENCE,cache-references:u,0.326757980932,4117,4046,5114,3584,4452,3940,4890,3738,3463,3463,3332,3511,3663,3403,3463,3513,3828,3407,3325,3358,3531,6053,3789,4039,3742,3603,3915,3586,3688,3436,3536,3350
LONGEST_LAT_CACHE.MISS,cache-misses:u,-0.0362852824613,2560,1936,1920,1808,2499,2339,3201,2118,1787,2092,2115,1652,1861,1583,1812,1934,2169,1620,1478,1623,1897,4007,2374,2923,2443,2291,2547,1789,2530,1755,1870,2158
CPU_CLK_UNHALTED.THREAD_P,cycles:u,1.0,20367871,20195437,20806689,17041313,12543570,11906271,11937225,11881159,11876449,11846444,11851373,11843592,11845314,11824522,11805424,11797854,11823434,11780177,11753406,11750237,11756003,11829863,11759458,11788094,11774642,11766665,11798569,11766434,11775661,11770693,11779510,11768343
CPU_CLK_THREAD_UNHALTED.REF_XCLK,bus-cycles:u,0.999927472692,525864,519522,535059,439137,324604,306225,310044,306606,305565,304706,304799,305298,305362,304268,305189,303273,304288,303299,302585,302539,302972,306585,304281,304738,303595,302536,304491,303467,304456,303624,304482,304366
L1D_PEND_MISS.PENDING,r0148:u,0.804362440882,94115,70608,91547,57469,59270,44098,77255,30269,31462,24154,20277,43047,48053,38341,39056,37442,37494,29622,22877,22626,19607,39755,30507,31330,27145,29727,40836,24769,29599,36767,33997,24898
DTLB_STORE_MISSES.MISS_CAUSES_A_WALK,r0149:u,0.725267713333,1034,1028,1049,1030,1028,1026,1027,1029,1028,1027,1027,1028,1027,1028,1027,1026,1028,1028,1026,1027,1027,1027,1027,1026,1028,1026,1025,1027,1027,1028,1026,1028
DTLB_STORE_MISSES.WALK_COMPLETED_4K,r0249:u,0.735766978039,1034,1028,1049,1030,1029,1026,1027,1028,1027,1028,1027,1027,1027,1028,1027,1026,1027,1027,1027,1027,1026,1027,1027,1026,1028,1027,1025,1026,1028,1027,1026,1027
DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M,r0449:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTLB_STORE_MISSES.WALK_COMPLETED,r0e49:u,0.742002644735,1033,1026,1038,1033,1028,1028,1027,1027,1026,1027,1026,1027,1026,1027,1027,1027,1026,1027,1027,1028,1026,1028,1026,1026,1027,1028,1028,1027,1026,1027,1027,1027
DTLB_STORE_MISSES.WALK_DURATION,r1049:u,-0.0762312560951,19653,23280,17267,18853,23512,20549,23715,18848,19457,19199,18397,20479,22334,22475,19106,19445,27107,18988,17097,17986,18260,20670,18957,20933,19186,18919,21658,22319,19976,22795,20438,19337
DTLB_STORE_MISSES.STLB_HIT_4K,r2049:u,-0.989464904904,1599,1530,1518,1813,2214,2316,2268,2321,2308,2308,2301,2312,2250,2247,2282,2277,2270,2297,2286,2209,2293,2211,2301,2271,2285,2255,2228,2237,2276,2226,2299,2287
DTLB_STORE_MISSES.STLB_HIT_2M,r4049:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTLB_STORE_MISSES.STLB_HIT,r6049:u,-0.989597852349,1584,1545,1526,1800,2224,2322,2307,2293,2261,2296,2294,2283,2260,2253,2295,2300,2297,2275,2295,2241,2266,2198,2264,2256,2280,2239,2238,2203,2266,2246,2301,2221
DTLB_STORE_MISSES.PDE_CACHE_MISS,r8049:u,0.37409296039,1,1,2,1,1,0,1,1,0,0,1,2,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1
LOAD_HIT_PRE.SW_PF,r014c:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOAD_HIT_PRE.HW_PF,r024c:u,0.536109222156,1058,1670,2112,1132,1238,259,625,447,1923,444,499,250,582,502,105,266,226,1020,655,688,458,998,798,714,669,1675,723,1718,764,497,535,467
L1D.REPLACEMENT,r0151:u,0.211663011664,132130,132206,131419,132015,132101,131861,132182,131815,131677,131748,131691,131880,131872,131804,131823,131748,132065,131750,131885,131781,131824,131732,131741,131787,131762,131755,132041,131719,131723,131808,131805,131731
MOVE_ELIMINATION.INT_NOT_ELIMINATED,r0458:u,-0.105124109208,-3,1,0,2,2,1,-3,-1,-1,-5,-1,4,-1,-2,2,1,3,6,2,0,0,0,-1,0,0,1,2,2,0,0,0,1
MOVE_ELIMINATION.SIMD_NOT_ELIMINATED,r0858:u,-0.508070179323,6,7,6,11,13,12,20,12,15,14,13,13,12,17,13,14,17,14,7,10,5,10,11,13,12,12,15,23,14,10,12,12
MOVE_ELIMINATION.INT_ELIMINATED,r0158:u,0.0952673931653,59,29,-19,-4,28,10,61,20,-11,7,-1,-29,8,-1,5,10,51,3,6,7,-18,18,18,5,10,-2,28,13,14,40,31,22
MOVE_ELIMINATION.SIMD_ELIMINATED,r0258:u,0.64165339531,1049465,1049435,1048813,1049571,1049179,1049141,1049054,1048951,1048892,1048868,1048914,1048859,1048874,1048893,1048844,1048896,1048868,1048862,1048925,1048786,1048677,1048806,1048813,1049024,1048864,1048814,1048796,1048967,1048908,1048804,1048815,1048809
CPL_CYCLES.RING0,r015c:u,0.43035343821,1,1,2,2,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,2
CPL_CYCLES.RING123,r025c:u,0.999863843209,20104683,20154202,20727633,17085354,12520083,11907446,11876165,11866392,11864050,11878251,11840732,11836436,11828424,11836356,11817455,11798805,11793240,11788552,11789154,11762300,11764645,11743391,11774845,11797093,11777102,11770654,11777366,11793709,11778592,11778308,11779833,11766457
RS_EVENTS.EMPTY_CYCLES,r015e:u,-0.0116236804768,21061,21342,-3298,89244,25120,26629,19288,18869,21595,32775,20368,22385,26115,30103,23234,24317,28350,24059,29460,15874,19810,7186,25272,37757,25257,28850,31916,34394,29290,25587,26191,20433
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_DATA_RD,r0160:u,0.96512890382,200901346,239097954,243679327,154588182,71517233,93120705,55132298,70203648,70130986,57192138,63686152,67293206,60850995,96459006,61944257,78516833,66005347,80536249,52919122,62103981,59751971,62608189,61250234,53828007,92429910,52611042,61111454,45552924,62720478,46133157,46643851,60499378
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_CODE_RD,r0260:u,0.783170652311,131691958,129203259,128033506,93693913,62541913,66050875,78269626,52691054,68017618,64221005,46000301,68463949,71213353,37390504,84346942,22242461,82309798,55597576,69923762,49790301,81141910,59880467,58097614,43588138,17835927,78035509,27823307,35123822,45337952,83093841,44839581,45074610
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_RFO,r0460:u,0.160275512725,269283,2342215,1531955,7334937,4107484,2910542,-471621,294297,-411058,295947,290642,2552690,1602254,4840512,-332378,-787728,2617847,6118549,369063,551300,260885,268027,3598304,203109,275244,297623,5753080,259930,30540,498314,-884304,2057548
OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD,r0860:u,0.923327243204,118176046,105362003,84971013,89392081,50201435,64013847,47051203,53673299,50942802,51341027,44682073,44155090,53955547,55750783,51600527,48120941,52231699,59128208,53659554,47697026,47850486,55954731,58888224,55636519,53427350,49794266,58552612,48570800,56771608,54927464,49347168,51012879
LOCK_CYCLES.SPLIT_LOCK_UC_LOCK_DURATION,r0163:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOCK_CYCLES.CACHE_LOCK_DURATION,r0263:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IDQ.EMPTY,r0279:u,0.217207028844,17325,20605,13427,24163,18448,22798,28888,17379,14073,16534,14053,12163,14787,23659,16167,16223,15428,14294,22743,9211,8258,11087,10637,10639,10361,14430,13663,12649,16685,12278,14386,13794
IDQ.MITE_UOPS,r0479:u,0.255141121844,5331,10146,6329,8570,5699,8471,8500,4914,5840,6932,5929,3871,5009,7221,6651,3974,3645,2938,7016,4973,17881,2453,1065,566,1309,3623,3803,2459,3373,1676,4023,4594
IDQ.DSB_UOPS,r0879:u,0.203088379297,23658,31612,23601,35286,24670,36423,34771,22454,16910,26365,21044,19726,21341,23576,22607,19709,21061,25485,13984,15285,8698,15521,71361,14268,12236,13054,9682,12648,14322,11638,11350,17622
IDQ.MS_DSB_UOPS,r1079:u,0.0450772355708,7,14,-32,110,-65,31,150,-76,-40,-51,-69,31,6,-33,-7,-16,51,59,14,-16,-7,-109,-73,72,35,30,41,78,71,-8,-17,24
IDQ.MS_MITE_UOPS,r2079:u,-0.01878543997,5007,6837,6451,11251,6401,11675,8578,7252,6183,8775,7679,6402,7759,8777,7548,7732,8161,9026,6105,5673,4585,4841,5304,6743,6250,7476,5228,6162,7095,6073,6230,6857
IDQ.MS_UOPS,r3079:u,-0.016908927303,5015,6851,6420,11362,6336,11706,8728,7176,6143,8724,7611,6433,7766,8745,7541,7716,8212,9085,6119,5657,4578,4733,5232,6816,6286,7506,5269,6241,7166,6066,6213,6881
IDQ.ALL_DSB_CYCLES_ANY_UOPS,r01001879:u,0.0246385278626,7256,8575,6236,10264,8116,20052,9558,6601,5083,6105,6014,6352,6999,6697,6093,6155,5779,6688,15705,5554,2817,6861,4895,4982,4519,4188,4445,2966,2963,3796,12971,26106
IDQ.ALL_DSB_CYCLES_4_UOPS,r04001879:u,0.0568039633099,4411,4349,3517,5317,4396,9650,5602,3398,2937,3530,3495,3015,3562,3428,3269,3410,3169,3740,9181,2800,1006,3750,2692,2900,2336,2366,2765,1473,1852,2054,5487,12005
IDQ.ALL_MITE_CYCLES_ANY_UOPS,r01002479:u,-0.0670405214449,3562,4606,4394,6879,4645,12134,6790,5135,3704,4343,4603,4754,6025,4451,4542,4782,4255,5428,12376,3103,3045,5640,3759,3737,2914,3492,3549,1500,2989,3264,5912,14832
IDQ.ALL_MITE_CYCLES_4_UOPS,r04002479:u,-0.0696932201358,1447,1853,1844,2838,1747,5932,2590,1910,1453,1789,1740,1946,2439,1783,1714,1917,1719,2282,4815,1675,1189,2327,1493,1502,1077,1258,1221,527,1217,1291,3513,7063
IDQ.MITE_ALL_UOPS,r3c79:u,0.451264486739,39604,81947,32988,56919,44024,43610,54243,29342,38409,38875,34000,30522,47198,67427,30103,31382,32248,38965,38511,36150,18846,26570,26470,16713,19435,20769,11892,20596,23170,21110,19511,27493
ICACHE.MISSES,r0280:u,0.0312743064833,8,13,32,29,27,25,30,37,33,14,9,13,9,28,15,30,28,30,9,3,6,4,11,11,6,7,13,24,30,35,26,21
ITLB_MISSES.MISS_CAUSES_A_WALK,r0185:u,-0.10786678181,1,1,3,3,-1,0,-1,3,4,4,2,4,1,1,6,7,5,3,2,1,1,0,0,4,3,4,0,0,4,5,4,3
ITLB_MISSES.WALK_COMPLETED_4K,r0285:u,0.1171014179,0,0,1,1,-2,-1,-3,0,1,0,-1,1,-1,-1,2,3,1,0,0,-1,-1,-1,-2,1,0,0,-1,0,1,2,1,0
ITLB_MISSES.WALK_COMPLETED_2M_4M,r0485:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITLB_MISSES.WALK_COMPLETED,r0e85:u,0.226835511047,-1,2,2,2,-2,-1,1,-1,-1,-1,1,3,1,0,-1,1,1,1,1,0,0,-2,-2,1,-1,4,-1,0,0,2,-1,-1
ITLB_MISSES.WALK_DURATION,r1085:u,0.0959934658113,133,231,107,189,28,179,263,103,111,125,126,179,189,168,104,110,196,176,56,101,131,-164,96,129,132,209,-295,262,166,234,153,254
ITLB_MISSES.STLB_HIT_4K,r2085:u,0.198154949592,0,0,0,0,0,-1,0,0,-1,0,0,0,-1,-1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0
ITLB_MISSES.STLB_HIT_2M,r4085:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITLB_MISSES.STLB_HIT,r6085:u,0.198573255026,0,0,0,0,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0
ILD_STALL.LCP,r0187:u,0.354282446892,1,1,2,2,-1,-1,1,1,1,0,1,1,-1,0,1,0,0,0,0,0,-1,0,0,0,-1,-1,2,1,1,1,1,3
ILD_STALL.IQ_FULL,r0487:u,0.722384819767,3797,51966,40290,3517,18658,2080,5086,995,728,2216,1544,3437,2584,5450,2458,7759,1160,2969,3483,1438,663,3320,3297,1244,2859,162,186,371,-677,4481,11460,2607
BR_INST_EXEC.COND.NOTAKEN,r4188:u,0.954233326247,1049666,1049738,1048890,1049168,893482,802111,826187,805560,795207,810209,795788,794731,798669,794921,785974,775709,780495,778400,767293,754574,743985,775166,779582,784606,779153,780288,781739,784059,781146,780050,769632,767433
BR_INST_EXEC.COND.TAKEN,r8188:u,0.753682969733,5247866,5247777,5244352,5245716,5245192,5244696,5244336,5244275,5244163,5244022,5244169,5244089,5244110,5245731,5244130,5244307,5244565,5244079,5243557,5243551,5243554,5244398,5243996,5243985,5243913,5243998,5244047,5243820,5244291,5243723,5243822,5244013
BR_INST_EXEC.DIRECT_JMP.TAKEN,r8288:u,0.129909709576,3,3,-1,4,5,4,-4,5,-2,-1,1,-4,3,10,-2,0,-2,0,-2,0,4,-8,5,-2,-3,-2,-2,10,-3,1,4,-1
BR_INST_EXEC.INDIRECT_JMP_NON_CALL_RET.TAKEN,r8488:u,0.0323941617856,5,8,-3,2,3,-7,3,-3,1,-21,0,-3,5,52,-3,4,2,0,0,-1,-2,15,0,1,-1,3,1,1,4,-1,3,-1
BR_INST_EXEC.RETURN_NEAR.TAKEN,r8888:u,0.0806559383152,12,5,-7,6,10,-5,0,6,11,-14,1,2,1,12,-3,0,10,3,-3,4,-1,-5,-1,-2,10,3,5,-1,-2,9,7,6
BR_INST_EXEC.DIRECT_NEAR_CALL.TAKEN,r9088:u,0.277558550196,21,19,-11,13,12,-8,-3,-3,11,-21,5,5,-3,18,4,-6,12,7,-14,15,-6,-5,-5,-10,7,-2,9,0,5,7,9,1
BR_INST_EXEC.INDIRECT_NEAR_CALL.TAKEN,ra088:u,-0.117093670262,-1,0,0,0,0,0,-1,0,0,0,-1,1,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,1,0,0,0
BR_INST_EXEC.ALL_BRANCHES,rff88:u,0.95650458909,6299565,6296040,6293558,6295717,6135206,6064871,6055457,6026364,6049329,6063077,6034684,6043123,6050694,6049870,6027654,6019492,6018139,6031407,6017486,6009740,6010565,6027679,6014400,6033932,6022027,6027610,6015912,6023774,6025651,6020154,6022267,6006334
BR_MISP_EXEC.COND.NOTAKEN,r4189:u,-0.0333461774429,9,12,4,4,15,6,4,7,8,10,10,6,4,16,8,12,13,15,10,4,2,4,10,6,2,7,4,15,6,12,5,7
BR_MISP_EXEC.COND.TAKEN,r8189:u,-0.224870249771,4,7,11,-11,22,1,2,12,8,19,33,-2,15,46,15,27,17,22,45,1,14,1,19,8,3,29,0,41,-3,11,-11,14
BR_MISP_EXEC.INDIRECT_JMP_NON_CALL_RET.TAKEN,r8489:u,-0.143514454152,1,0,0,-2,2,-1,-1,1,0,0,2,0,0,3,1,1,1,2,5,-1,2,0,2,0,-3,2,1,3,0,0,-3,1
BR_MISP_EXEC.RETURN_NEAR.TAKEN,r8889:u,4.8504061304e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0
BR_MISP_EXEC.DIRECT_NEAR_CALL.TAKEN,r9089:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR_MISP_EXEC.INDIRECT_NEAR_CALL.TAKEN,ra089:u,0.186941053353,0,0,1,0,0,-1,0,0,-1,0,0,0,0,1,1,-1,-1,0,0,1,0,0,0,0,1,0,0,0,-1,0,0,0
BR_MISP_EXEC.ALL_BRANCHES,rff89:u,0.153042030051,13,32,53,11,14,-33,13,0,-6,25,54,7,29,47,53,0,-1,34,16,43,22,14,11,33,34,7,21,9,-2,39,31,41
IDQ_UOPS_NOT_DELIVERED.CORE,r019c:u,0.154731614885,3189178,3209955,3179444,3178613,3188037,3198714,3186591,3194590,3181420,3182258,3255072,3191810,3182605,3183467,3175253,3188842,3183669,3183447,3164506,3167696,3167277,3189947,3173808,3169572,3169284,3171890,3175697,3181524,3178131,3186266,3176172,3182614
UOPS_EXECUTED_PORT.PORT_0,r01a1:u,0.997084331997,17572585,18830831,18494260,14669176,7048509,6581871,6588374,6562859,6585154,6596689,6569902,6588850,6577748,6566567,6572337,6526413,6490967,6514124,6492798,6460934,6495654,6453614,6475902,6475436,6496781,6493677,6483765,6452841,6513651,6468532,6521960,6478875
UOPS_EXECUTED_PORT.PORT_1,r02a1:u,0.358373936802,5250188,5860579,6834511,6419354,5881255,5801425,5797048,5785491,5791544,5795299,5797760,5800547,5804369,5804073,5814883,5806640,5811375,5818586,5815589,5806776,5810727,5813525,5813798,5811808,5811361,5816740,5816470,5809754,5816912,5814259,5813446,5811013
UOPS_EXECUTED_PORT.PORT_2,r04a1:u,0.66425106233,8769366,8700315,8593424,8678421,8608736,8659421,8579483,8565624,8610702,8586129,8618877,8612081,8610069,8626036,8574582,8618531,8570967,8630064,8563527,8574667,8580419,8607092,8571633,8615503,8567327,8606569,8570600,8565740,8576880,8573771,8622090,8606287
UOPS_EXECUTED_PORT.PORT_3,r08a1:u,-0.648372494643,8022095,8091070,8189698,8109030,8177690,8125189,8206584,8216253,8170954,8194236,8163299,8169805,8171902,8155205,8207336,8164723,8210390,8151372,8215290,8204654,8199199,8176011,8209140,8165601,8213582,8174955,8209800,8215282,8204079,8206420,8158113,8174484
UOPS_EXECUTED_PORT.PORT_4,r10a1:u,0.430620768109,6292791,6293262,6292331,6293232,6293614,6293008,6292308,6292455,6292463,6292485,6292494,6292377,6292433,6292268,6292346,6292803,6292389,6292299,6292082,6292162,6291946,6292787,6292153,6292307,6292134,6292345,6292368,6292340,6292093,6292126,6292352,6292115
UOPS_EXECUTED_PORT.PORT_5,r20a1:u,0.495357982981,8086242,7987685,7848097,8233917,8188836,7791228,7797802,7807349,7805559,7809185,7816710,7781361,7796546,7795057,7791851,7784750,7829242,7817200,7851200,7913970,7850075,7949372,7864700,7851434,7833362,7911992,7888716,7896771,7880291,7913311,7852444,7870585
UOPS_EXECUTED_PORT.PORT_6,r40a1:u,0.986917490085,10801207,10902121,11033253,10651595,9712242,9288271,9285166,9281185,9284553,9282143,9272374,9281105,9279828,9272028,9280868,9269934,9271463,9286082,9279897,9268660,9267951,9262300,9276336,9272687,9271579,9268168,9265668,9267899,9272324,9275626,9278291,9268805
