Performance counter,Mnemonic,Correlation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
DTLB_LOAD_MISSES.STLB_HIT,r6008:u,0.563736783232,-4,9,685,9,-30,6,5,-34,8,3,-4,6,1,-4,3,-3,7,-8,12,26,7,8,5,-1,0,-2,-4,-22,-6,9,3,6
DTLB_LOAD_MISSES.PDE_CACHE_MISS,r8008:u,-0.324605405445,0,3,-3,0,1,2,4,4,1,2,5,-1,-1,2,3,3,0,0,2,0,0,0,2,1,3,0,4,2,3,2,1,1
INT_MISC.RECOVERY_CYCLES,r030d:u,-0.343308558063,1872,1887,1869,1757,2252,2109,2372,2436,2281,2342,2338,2408,2044,2781,2814,2329,2299,2544,1977,1889,1162,2362,2274,2315,1770,2218,1976,2479,2035,2299,2121,1676
UOPS_ISSUED.ANY,r010e:u,0.144897005375,43013333,43011219,43011883,43011197,43019315,43009728,43011551,43016345,43012315,43010863,43009744,43012493,43010221,43015679,43015177,43011681,43011670,43013236,43003886,43006538,43001137,43011088,43011151,43012030,43007179,43010734,43008605,43013695,43008589,43009965,43008785,43006547
UOPS_ISSUED.FLAGS_MERGE,r100e:u,-0.0759147644537,0,-2,-1,3,4,-1,-1,-1,-3,2,1,-4,1,60,2,-4,6,13,3,-7,-2,1,-6,-3,4,-1,-1,-3,-5,4,0,5
UOPS_ISSUED.SLOW_LEA,r200e:u,-0.152348019376,4,-4,0,10,8,7,3,10,4,6,15,-7,15,63,8,1,14,14,14,-14,8,9,-7,0,11,0,5,-4,-8,11,9,17
UOPS_ISSUED.SiNGLE_MUL,r400e:u,0.222909777023,5245156,5244169,5244658,5246200,5245924,5245695,5244962,5244942,5244813,5244482,5244324,5244812,5244443,5245855,5244429,5244585,5244256,5244242,5243371,5243654,5243516,5244222,5244681,5244710,5244134,5244254,5244211,5244678,5244084,5244244,5244383,5244456
L2_RQSTS.DEMAND_DATA_RD_MISS,r2124:u,0.240739369819,1208,1152,1184,1215,1116,1235,1158,1179,1197,1118,1234,1134,1244,1187,1172,1141,1140,1161,1077,1135,1148,1157,1144,1142,1158,1152,1152,1162,1151,1168,1139,1174
L2_RQSTS.DEMAND_DATA_RD_HIT,r4124:u,-0.0376943671056,551,902,1172,527,730,860,813,816,804,753,716,704,756,713,699,734,672,717,834,742,1150,1102,826,959,897,1062,1185,1103,906,818,705,860
L2_RQSTS.ALL_DEMAND_DATA_RD,re124:u,0.0345450224632,1785,2052,2392,1711,1821,2062,1988,2051,1972,1861,1881,1930,1977,1848,1863,1924,1815,1884,1891,1876,2305,2258,1978,2103,2070,2223,2351,2251,2055,1987,1846,2053
L2_RQSTS.RFO_HIT,r4224:u,0.527031352396,64105,64109,64049,63799,63777,63757,63879,63687,63823,63691,63752,63229,63633,63664,63680,63608,63369,63530,63804,63761,63757,63842,63743,63650,63470,63754,63669,63763,63719,63501,63681,62732
L2_RQSTS.RFO_MISS,r2224:u,0.137348875907,1412,1353,1458,1380,1341,1373,1248,1407,1289,1225,1286,1591,1415,1256,1319,1354,1399,1413,1254,1235,1257,1265,1252,1273,1492,1325,1338,1247,1305,1489,1279,1888
L2_RQSTS.ALL_RFO,re224:u,0.808035825375,65494,65516,65485,65276,65047,65115,65082,65092,65046,64882,65088,64716,65058,64906,65033,64996,64617,64901,64943,64926,65073,65069,64997,64906,65007,65167,65038,65103,64962,65000,64772,64948
L2_RQSTS.CODE_RD_HIT,r4424:u,-0.136136990191,0,1,3,2,2,-4,4,9,6,0,3,-2,-1,-5,-1,8,2,12,8,-1,5,0,13,3,12,1,5,-1,0,4,6,4
L2_RQSTS.CODE_RD_MISS,r2424:u,-0.138840509048,5,3,6,7,5,-1,11,16,13,1,5,3,2,-7,2,12,7,23,15,4,9,4,20,10,20,6,7,2,2,7,12,6
L2_RQSTS.ALL_DEMAND_MISS,r2724:u,0.377907144601,2740,2652,2585,2757,2341,2503,2478,2636,2536,2364,2658,2786,2627,2366,2500,2574,2779,2533,2355,2415,2426,2437,2431,2469,2784,2450,2524,2440,2410,2563,2539,2539
L2_RQSTS.ALL_DEMAND_REFERENCES,re724:u,0.640022461954,67417,67698,67892,67002,66899,67205,66968,67185,66847,66803,66832,66730,67132,66966,66841,66962,66641,66717,66893,66811,67480,67252,66926,67033,67093,67259,67387,67311,67208,66995,66740,66890
L2_RQSTS.ALL_CODE_RD,re424:u,0.105173768042,20,11,16,2,11,6,5,26,6,1,12,-8,14,-20,11,11,24,12,20,3,11,2,16,33,4,-6,18,15,10,4,30,9
L2_RQSTS.L2_PF_HIT,r5024:u,0.706146837529,2760,2800,3263,2742,2716,2647,2336,2889,2393,2311,2527,2323,2654,2569,2376,2670,2265,2566,2264,2237,2247,2338,2217,2290,2415,2330,2386,2357,2374,2459,2262,2435
L2_RQSTS.L2_PF_MISS,r3024:u,-0.63012557048,128695,128728,128590,128983,129027,129200,129029,129236,129021,129033,129044,129010,129149,129061,129016,129123,128842,129023,128936,128870,128977,128996,129001,128558,129071,129040,129050,129152,129136,129009,129187,129201
L2_RQSTS.ALL_PF,rf824:u,-0.123881488075,196289,195492,194581,195977,196271,196124,195585,195942,195702,195705,195730,195687,196266,195584,195626,195988,195374,196491,195479,195524,195243,195346,195370,195287,195632,195347,195356,195328,195465,195760,195765,195944
L2_RQSTS.MISS,r3f24:u,0.108435392088,132035,131776,132311,131828,131960,132140,131804,132082,131838,131873,131807,131860,132378,131864,131733,132321,131721,133298,131686,131610,131686,131770,131700,131801,131959,131829,131808,131784,131772,131943,131736,131920
L2_RQSTS.REFERENCES,rff24:u,0.311076381722,263579,263044,262386,262969,263141,263313,262562,262974,262582,262471,262554,262530,263334,262196,262378,263002,262077,262996,262404,262308,262707,262695,262248,262064,262692,262731,262715,262634,262564,262786,262617,262936
L2_DEMAND_RQSTS.WB_HIT,r5027:u,-0.28976372746,65171,65179,65228,65109,65396,65381,65361,65392,65420,65421,65392,65395,65220,65356,65447,65113,65338,64940,64708,65386,65399,65375,65344,65360,65332,65346,65371,65354,65426,65304,65415,65314
LONGEST_LAT_CACHE.REFERENCE,cache-references:u,0.162436762222,3153,3031,4751,3342,3376,3436,3339,3449,3467,3394,3372,3418,3408,3597,3292,3643,3324,4867,3299,3208,3189,3299,3188,3724,3293,3462,3231,3501,3160,3811,3115,3405
LONGEST_LAT_CACHE.MISS,cache-misses:u,-0.0897383013809,1303,1794,2425,1412,1663,1449,1979,1767,2214,2190,2062,2125,1642,2643,2137,2013,2144,2530,1707,2088,1257,1585,1938,2837,1495,1698,1304,1750,1237,2337,1908,1603
CPU_CLK_UNHALTED.THREAD_P,cycles:u,1.0,19926451,20045730,20812170,16999305,12483883,11898319,11859526,11885418,11880704,11858699,11843290,11848949,11855320,11809792,11811779,11816075,11783966,11819825,11767226,11766713,11766232,11766720,11771719,11814803,11776939,11784681,11761655,11788768,11766996,11814424,11771891,11803407
CPU_CLK_THREAD_UNHALTED.REF_XCLK,bus-cycles:u,0.999923457845,514247,516270,534965,438634,321083,306449,305102,306348,308343,305680,305268,307518,305272,304102,304247,304591,304229,305048,302816,303718,303774,302857,302411,307118,303477,304317,302848,304083,303288,305000,303025,304569
L1D_PEND_MISS.PENDING,r0148:u,0.508499537756,45015,20457,139782,38005,19256,44920,33309,41642,31639,20786,20292,57901,50341,25929,22532,41569,27746,41803,42716,20640,27415,33444,28724,27783,25415,39317,28685,29430,25804,44614,23318,34915
DTLB_STORE_MISSES.MISS_CAUSES_A_WALK,r0149:u,0.711844275332,1030,1030,1045,1031,1030,1029,1029,1029,1026,1029,1028,1028,1026,1028,1029,1028,1029,1028,1027,1027,1027,1028,1027,1026,1027,1027,1026,1026,1027,1027,1027,1027
DTLB_STORE_MISSES.WALK_COMPLETED_4K,r0249:u,0.722324634209,1030,1030,1044,1031,1030,1029,1029,1028,1026,1029,1028,1027,1026,1028,1028,1027,1029,1028,1028,1027,1027,1028,1028,1027,1027,1027,1026,1026,1027,1026,1028,1027
DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M,r0449:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTLB_STORE_MISSES.WALK_COMPLETED,r0e49:u,0.628236070485,1029,1028,1046,1030,1030,1028,1028,1028,1028,1027,1027,1026,1028,1028,1028,1028,1028,1026,1027,1027,1028,1026,1028,1029,1029,1028,1028,1027,1028,1027,1026,1027
DTLB_STORE_MISSES.WALK_DURATION,r1049:u,-0.289211523924,19716,18345,18700,18595,20063,20201,19218,20562,20521,19724,17877,21841,21207,20057,19543,21230,19962,20876,21942,16788,17224,20140,20901,19397,19414,20677,20252,19569,18258,21529,21823,24003
DTLB_STORE_MISSES.STLB_HIT_4K,r2049:u,-0.99150581938,1602,1553,1515,1805,2239,2329,2296,2278,2300,2286,2307,2297,2265,2263,2268,2266,2257,2259,2236,2256,2291,2205,2266,2288,2284,2241,2226,2258,2290,2245,2276,2223
DTLB_STORE_MISSES.STLB_HIT_2M,r4049:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTLB_STORE_MISSES.STLB_HIT,r6049:u,-0.990310790201,1604,1543,1531,1796,2236,2315,2301,2277,2264,2295,2303,2290,2265,2277,2250,2269,2266,2304,2284,2269,2308,2190,2295,2242,2284,2248,2202,2241,2273,2249,2266,2242
DTLB_STORE_MISSES.PDE_CACHE_MISS,r8049:u,-0.0618675100737,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,2,1,0,1,1,1,1,1,1
LOAD_HIT_PRE.SW_PF,r014c:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOAD_HIT_PRE.HW_PF,r024c:u,0.244041328816,586,129,2090,825,813,440,689,421,1268,721,541,330,736,591,902,468,2579,499,326,341,266,385,560,897,328,390,185,586,194,423,49,-55
L1D.REPLACEMENT,r0151:u,0.638129189929,132030,131892,132011,131970,131979,131853,131745,131881,131932,131709,131714,131671,131718,131835,131731,131753,131721,131731,131799,131857,131847,131800,131934,131735,131772,131764,131744,131809,131776,131859,131771,131848
MOVE_ELIMINATION.INT_NOT_ELIMINATED,r0458:u,-0.00373010411873,0,1,1,1,4,1,3,2,-1,4,2,0,3,-1,-1,2,1,2,-3,-1,3,-2,-1,0,0,2,0,-1,2,0,1,3
MOVE_ELIMINATION.SIMD_NOT_ELIMINATED,r0858:u,-0.474075371786,6,8,9,10,11,13,14,11,13,15,14,15,18,13,18,15,20,14,6,7,7,12,20,18,10,14,14,14,12,12,14,12
MOVE_ELIMINATION.INT_ELIMINATED,r0158:u,0.046305928876,42,5,0,43,27,-2,5,20,42,24,35,19,4,7,22,20,4,27,4,35,27,10,36,29,22,34,18,18,-8,15,14,-17
MOVE_ELIMINATION.SIMD_ELIMINATED,r0258:u,0.493685363437,1049168,1048863,1049089,1049192,1049074,1048887,1049070,1049077,1048880,1048916,1048888,1048907,1048926,1048849,1048988,1048871,1048815,1048849,1048677,1048734,1048697,1048854,1049034,1048935,1048857,1048870,1048840,1048919,1048921,1048823,1048880,1048856
CPL_CYCLES.RING0,r015c:u,0.271560816918,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0
CPL_CYCLES.RING123,r025c:u,0.999944820107,19940797,20122463,20730383,17016602,12498451,11871812,11881367,11903161,11864959,11855877,11832889,11837270,11821495,11837684,11815563,11797279,11790545,11779281,11755151,11760437,11767666,11768409,11800137,11812220,11776284,11767355,11770547,11782097,11784593,11775648,11799671,11784686
RS_EVENTS.EMPTY_CYCLES,r015e:u,-0.229429271293,22296,16646,20988,21733,14863,15919,24775,20103,20241,22423,22620,26830,24393,24154,26277,29359,29761,25517,12922,19956,19821,20410,34528,55712,24385,25084,22796,31413,19992,28116,40806,38659
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_DATA_RD,r0160:u,0.947665387288,160955115,180480762,241770427,123994385,61858320,60253705,70130239,61630144,63356217,62978978,65358859,57889209,72646319,74470538,68363858,65123044,61705027,93350302,52369429,72814422,69064808,51637794,50319304,82807289,50903723,68706882,48356829,57871688,64205648,64256827,69511834,59358799
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_CODE_RD,r0260:u,0.820177447092,111174430,116937423,110959362,103904792,31807927,24451615,36747271,37208022,-6980347,20610193,21674847,23861008,32210459,47806975,19423522,61759631,18563652,24183562,57884281,74821725,73681163,25961879,25005422,46640733,32761493,27736323,28986379,57278015,14403927,24845400,22792097,38546762
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_RFO,r0460:u,0.0457048755273,519873,142030,-129585,8720886,4784720,-264439,2512082,431836,1562975,-112977,-11757,-145780,151464,6173905,-631477,1250943,2467364,-119849,-235073,-63327,4004630,1496291,-61291,-600596,290589,5970171,5608889,-799627,249827,406601,65619,709980
OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD,r0860:u,0.932939594681,119210392,102671296,93325904,100354861,63164561,53986580,57873188,57367137,62584192,46062107,48220281,54441138,60975735,51263750,52239489,51430998,53891868,57616421,61436511,51234782,62168451,61577119,58888022,52828509,53968144,53066558,55198731,57460732,51300398,52362524,52513793,56346426
LOCK_CYCLES.SPLIT_LOCK_UC_LOCK_DURATION,r0163:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOCK_CYCLES.CACHE_LOCK_DURATION,r0263:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IDQ.EMPTY,r0279:u,-0.152232053256,13042,15006,13517,15519,15090,14580,15412,15771,20342,14667,15590,19119,22318,15224,18375,17018,25550,21737,7765,8925,10448,13028,18711,22674,14777,15765,14199,17762,12515,14293,12664,12611
IDQ.MITE_UOPS,r0479:u,-0.210542029079,4532,4147,1850,3783,3847,2519,2915,6957,6556,2384,3805,3616,6060,2430,5359,4194,7163,7450,3631,2715,2966,2314,4140,7278,4850,4632,3449,5246,3588,4407,5567,7183
IDQ.DSB_UOPS,r0879:u,0.391521835844,11846,102677,16724,20704,18936,17374,22919,20737,24924,25392,20924,17031,20806,18978,16221,19471,19785,17280,12710,13698,9459,14545,27272,23294,21041,20993,18418,23789,21688,17976,21553,47324
IDQ.MS_DSB_UOPS,r1079:u,-0.300586495637,-43,-36,-54,-29,-49,8,-1,-44,56,-37,12,-34,-4,6,22,-52,-29,-4,-58,-22,-41,-15,98,59,6,38,55,176,13,7,32,243
IDQ.MS_MITE_UOPS,r2079:u,-0.218413127605,5965,6725,6095,6017,5218,5337,6324,5775,9637,9183,7865,8717,8003,7625,7615,7670,10022,7582,4081,4879,4540,5984,11427,9496,7029,8376,6913,10693,7999,6962,6218,16784
IDQ.MS_UOPS,r3079:u,-0.221662256819,5923,6690,6041,5988,5169,5345,6323,5731,9694,9146,7877,8684,7999,7631,7637,7618,9993,7579,4023,4857,4499,5970,11525,9556,7036,8415,6969,10870,8013,6969,6250,17027
IDQ.ALL_DSB_CYCLES_ANY_UOPS,r01001879:u,-0.159432217928,6112,4909,5273,5997,5743,6430,7864,6478,16489,6974,5339,5451,4601,4483,6627,5997,8372,4114,3247,18625,4001,5295,5835,11619,4654,6547,5630,11416,6922,4056,6489,11121
IDQ.ALL_DSB_CYCLES_4_UOPS,r04001879:u,-0.0915586086483,3788,2524,3427,3142,3623,3922,4525,3319,9455,3782,2911,3069,2730,2625,3330,2989,4401,2002,1039,7903,1731,2587,2866,7033,2643,3502,2977,5269,3639,1860,3299,5592
IDQ.ALL_MITE_CYCLES_ANY_UOPS,r01002479:u,-0.155003262545,4152,3212,5077,3822,3053,3337,4794,4066,12441,5404,4455,4289,3836,3810,5891,4988,7271,3669,3218,6879,3085,3823,4362,9035,2970,4332,3676,8528,5224,3240,4355,9040
IDQ.ALL_MITE_CYCLES_4_UOPS,r04002479:u,-0.090625689391,1774,1392,2430,1557,1130,1221,1877,1488,4756,2156,1770,1608,1578,1362,2289,1979,3005,1486,1229,4820,1091,1353,1862,3415,1092,1683,1398,4121,2209,1250,1613,3917
IDQ.MITE_ALL_UOPS,r3c79:u,-0.170907013424,27297,20861,26066,28798,29415,29658,32684,31944,63960,26967,35230,30976,42839,92013,40385,28177,37491,40897,18383,34638,20116,30898,263031,27823,25535,25443,26279,63525,64416,60364,37424,57990
ICACHE.MISSES,r0280:u,0.228985641773,36,32,25,30,32,30,33,24,34,18,33,32,22,25,30,35,26,32,23,29,28,29,29,37,17,22,24,-3,1,1,11,5
ITLB_MISSES.MISS_CAUSES_A_WALK,r0185:u,-0.382694923477,0,0,1,2,5,3,2,3,3,2,3,2,2,0,2,3,3,4,0,1,2,2,3,2,2,6,4,1,1,1,5,1
ITLB_MISSES.WALK_COMPLETED_4K,r0285:u,-0.0684000903326,0,-1,1,0,2,1,0,1,1,0,1,-1,0,-1,0,0,0,1,0,0,0,-1,1,0,0,2,1,0,0,-1,1,-1
ITLB_MISSES.WALK_COMPLETED_2M_4M,r0485:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITLB_MISSES.WALK_COMPLETED,r0e85:u,-0.186591423902,0,1,-1,-1,0,0,1,0,0,1,0,0,0,0,0,0,0,-1,1,0,-1,0,1,0,1,0,0,1,0,0,0,0
ITLB_MISSES.WALK_DURATION,r1085:u,-0.0941293255913,149,195,122,195,224,171,212,156,107,155,119,135,169,154,147,161,100,310,123,111,180,172,347,289,254,170,172,212,55,234,182,200
ITLB_MISSES.STLB_HIT_4K,r2085:u,-0.0333790850681,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,-1,0,0,0,0,-1,-1
ITLB_MISSES.STLB_HIT_2M,r4085:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITLB_MISSES.STLB_HIT,r6085:u,0.047859411021,0,0,0,-1,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,0,0
ILD_STALL.LCP,r0187:u,-0.0376332677614,2,0,1,-2,1,1,-1,2,1,1,1,0,1,-1,0,1,2,0,1,2,0,2,0,0,1,1,1,1,-1,0,0,1
ILD_STALL.IQ_FULL,r0487:u,0.690567061614,1117,31246,35591,37546,6296,3650,7761,1295,3111,2768,1647,3617,2022,22620,12575,695,6839,2089,6354,8880,677,3421,1676,3357,1736,3328,1209,2417,3643,2766,4060,7279
BR_INST_EXEC.COND.NOTAKEN,r4188:u,0.945599472065,1049142,1048844,1049140,1049035,896215,831443,843817,845194,816980,804102,812897,794066,800870,784698,790624,789699,774761,785080,775935,767679,767889,781475,782895,782526,775860,789194,793145,778362,775084,788446,784267,769941
BR_INST_EXEC.COND.TAKEN,r8188:u,0.499357448606,5245617,5244135,5245346,5245078,5245065,5245131,5245023,5244808,5244786,5244358,5244152,5244360,5244285,5244343,5244123,5244349,5244164,5243667,5243209,5243537,5243421,5244232,5244767,5244321,5243967,5243985,5244206,5244369,5244017,5243962,5244043,5243847
BR_INST_EXEC.DIRECT_JMP.TAKEN,r8288:u,-0.171686293169,-1,0,2,0,3,3,3,3,7,-6,-2,3,0,-2,7,4,0,2,8,-6,1,1,5,3,1,0,2,4,5,2,1,5
BR_INST_EXEC.INDIRECT_JMP_NON_CALL_RET.TAKEN,r8488:u,-0.00179782152342,6,-1,-1,1,1,-1,5,-1,16,0,6,0,2,-2,2,0,0,-2,-1,-5,0,2,10,0,-3,-3,-1,5,7,-3,-1,2
BR_INST_EXEC.RETURN_NEAR.TAKEN,r8888:u,-0.0432546588051,12,0,3,0,8,-7,4,2,6,-6,4,6,14,8,7,5,-2,5,11,-1,7,3,12,1,10,2,6,8,2,-2,10,12
BR_INST_EXEC.DIRECT_NEAR_CALL.TAKEN,r9088:u,0.0764127765923,24,-1,1,5,-3,-18,4,-3,15,-3,-3,0,12,11,17,2,-1,22,9,-13,9,-5,14,-4,8,1,1,14,7,12,12,16
BR_INST_EXEC.INDIRECT_NEAR_CALL.TAKEN,ra088:u,-0.0331912446688,0,0,0,-1,0,0,0,-1,0,0,0,0,-1,0,1,0,0,0,0,0,1,-1,0,0,0,0,0,0,-1,0,-1,0
BR_INST_EXEC.ALL_BRANCHES,rff88:u,0.940762269206,6295799,6293329,6294606,6294517,6142903,6054987,6084473,6085562,6066384,6052275,6033047,6020430,6035062,6036428,6032646,6041742,6043596,6018873,6011560,6014459,5998432,6029090,6024046,6017331,6032497,6032502,6031140,6019343,5976357,6024345,6014638,6032027
BR_MISP_EXEC.COND.NOTAKEN,r4189:u,0.120001467858,21,14,5,4,5,14,12,13,7,5,5,10,4,1,14,4,4,9,11,6,12,8,20,19,13,3,7,11,13,11,14,13
BR_MISP_EXEC.COND.TAKEN,r8189:u,0.221141815211,53,45,5,16,8,32,14,36,19,12,24,26,11,-7,32,4,-5,11,28,9,41,22,60,53,34,-9,13,-6,24,2,16,-2
BR_MISP_EXEC.INDIRECT_JMP_NON_CALL_RET.TAKEN,r8489:u,0.273599269399,5,3,0,1,0,1,1,3,1,0,1,2,1,-1,2,-1,-1,0,2,-1,3,1,5,4,3,-2,0,-1,1,-2,0,-1
BR_MISP_EXEC.RETURN_NEAR.TAKEN,r8889:u,-0.144661311217,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
BR_MISP_EXEC.DIRECT_NEAR_CALL.TAKEN,r9089:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR_MISP_EXEC.INDIRECT_NEAR_CALL.TAKEN,ra089:u,0.0669285826668,2,0,0,-1,0,0,0,0,0,2,0,2,0,0,1,0,0,2,-1,0,0,0,0,0,1,0,-1,0,-1,1,0,0
BR_MISP_EXEC.ALL_BRANCHES,rff89:u,0.201642930446,98,18,51,6,39,14,26,7,3,82,13,90,26,9,49,16,21,82,-8,21,31,43,22,39,42,30,6,28,8,61,47,35
IDQ_UOPS_NOT_DELIVERED.CORE,r019c:u,-0.132741465284,3193228,3177025,3188435,3183901,3191623,3197303,3197438,3194987,3188444,3192775,3186381,3188897,3186547,3190711,3195978,3184748,3184287,3175601,3163868,3170842,3190982,3181249,3214534,3201789,3232662,3187900,3186338,3188710,3186926,3196754,3193427,3190998
UOPS_EXECUTED_PORT.PORT_0,r01a1:u,0.997411391972,17599664,18865587,18456820,14696141,7047579,6583091,6583498,6630410,6578096,6578528,6569893,6541866,6556283,6553395,6531384,6544272,6493807,6486176,6475048,6484254,6511458,6429965,6498138,6466550,6519053,6476269,6486706,6445831,6477092,6441080,6518389,6491486
UOPS_EXECUTED_PORT.PORT_1,r02a1:u,0.381550812162,5250660,5849207,6869693,6415062,5879164,5802928,5799174,5803357,5787850,5793816,5795984,5799415,5798276,5804102,5806492,5810382,5808689,5808891,5813264,5807351,5812085,5808709,5817754,5812598,5817143,5816250,5812767,5814978,5813179,5805435,5817783,5813766
UOPS_EXECUTED_PORT.PORT_2,r04a1:u,0.23370590621,8748247,8687745,8464161,8620431,8606180,8620278,8607575,8591156,8598425,8575891,8542426,8547026,8603864,8619316,8547178,8625314,8570621,8625060,8532197,8618428,8601924,8628140,8578020,8603310,8607992,8569674,8647138,8516737,8546153,8591886,8590137,8616235
UOPS_EXECUTED_PORT.PORT_3,r08a1:u,-0.218279545922,8040255,8094258,8318728,8165580,8176806,8164276,8177742,8193915,8183489,8206523,8239195,8235064,8177870,8163422,8234638,8156226,8211130,8155520,8246437,8161086,8177509,8153073,8204651,8177916,8173482,8211519,8134708,8264582,8235334,8190064,8191176,8165571
UOPS_EXECUTED_PORT.PORT_4,r10a1:u,0.115247348452,6292703,6292228,6292422,6293150,6292701,6292823,6292839,6292747,6292533,6292543,6292536,6292455,6292413,6292882,6292602,6292407,6292832,6292113,6291825,6291901,6292045,6292378,6292516,6292421,6292359,6292354,6292535,6292590,6292531,6292469,6292471,6292419
UOPS_EXECUTED_PORT.PORT_5,r20a1:u,0.504835008225,8091198,8039382,7822133,8239247,8170105,7809003,7788642,7722429,7816048,7791736,7796561,7829358,7804552,7865183,7798629,7808767,7851668,7870992,7847029,7883124,7882176,7923856,7841593,7878515,7850879,7867772,7878886,7873997,7892037,7920537,7872367,7881232
UOPS_EXECUTED_PORT.PORT_6,r40a1:u,0.987427191668,10796182,10842761,11061412,10646273,9715953,9285298,9292375,9309642,9278915,9288605,9283527,9271087,9275855,9269379,9275686,9278594,9266419,9278110,9266053,9264546,9270257,9275461,9282446,9278224,9278717,9273139,9274167,9281486,9271834,9271875,9278632,9277316
