Performance counter,Mnemonic,Correlation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_MISS,r01d2:u,-0.203355133213,0,0,-1,-1,-1,0,0,0,-1,0,0,0,0,0,-1,0
MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HIT,r02d2:u,-0.0102293813129,0,0,0,-1,0,0,0,0,-1,0,0,-1,0,0,0,0
MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HITM,r04d2:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_NONE,r08d2:u,-0.182443001649,15424,11955,14899,12810,12842,13457,13826,13339,13956,13710,12191,14169,13385,13120,13138,16145
MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM,r01d3:u,-0.10195015027,560,265,520,459,422,600,307,389,290,343,214,481,281,411,715,770
BACLEARS.ANY,r1fe6:u,0.380912987321,79,73,82,75,78,73,74,72,81,74,74,73,66,72,68,73
L2_TRANS.DEMAND_DATA_RD,r01f0:u,0.921087726082,105613,106212,109098,106896,112962,112350,113366,111810,101793,101416,98945,100790,87813,88501,86517,93482
L2_TRANS.RFO,r02f0:u,0.823314174332,9602,9750,9698,9921,8851,7420,7092,7827,145,145,144,147,143,146,146,147
L2_TRANS.CODE_RD,r04f0:u,-0.163580789666,43,35,33,34,67,67,44,30,78,58,39,45,28,80,44,47
L2_TRANS.ALL_PF,r08f0:u,-0.11610760156,237787,237058,230070,238433,244019,238954,235227,240194,245694,236224,240444,246220,243660,238424,227493,240855
L2_TRANS.L1D_WB,r10f0:u,0.835843003736,10094,16350,15299,16639,10057,15701,15266,15770,9223,9010,8893,9059,8237,8261,8087,8233
L2_TRANS.L2_FILL,r20f0:u,0.31779850938,238867,243431,238150,246886,246288,239683,246652,243130,243712,240860,244400,248689,241833,240855,236306,241465
L2_TRANS.L2_WB,r40f0:u,-0.597358598467,149,158,155,165,157,173,166,174,553,498,428,519,364,308,250,310
L2_TRANS.ALL_REQUESTS,r80f0:u,0.660907626609,665722,714934,684353,714493,725915,698943,729650,695501,709279,686906,691519,713927,679502,669894,649793,667053
L2_LINES_IN.I,r01f1:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L2_LINES_IN.S,r02f1:u,0.0604406805658,42,26,36,41,29,40,42,23,33,27,32,50,24,40,26,38
L2_LINES_IN.E,r04f1:u,0.0855847160572,243515,239234,238769,243949,248616,242722,243056,241572,243383,243966,245852,247091,242345,243842,240404,239677
L2_LINES_IN.ALL,r07f1:u,0.085698191652,243557,239260,238805,243991,248646,242762,243099,241595,243417,243994,245885,247142,242369,243882,240431,239715
L2_LINES_OUT.DEMAND_CLEAN,r05f2:u,-0.298185241345,30329,34193,30570,30637,28334,29962,30166,28972,30939,29563,28717,29417,31257,30659,33217,30511
L2_LINES_OUT.DEMAND_DIRTY,r06f2:u,-0.239684681871,11,13,12,11,18,19,25,20,20,21,20,20,20,18,20,21
