Performance counter,Mnemonic,Correlation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
MEM_LOAD_UOPS_RETIRED.L3_HIT,r04d1:u,-0.457341450958,35061,31426,30102,28838,28123,28195,29570,29888,31514,32660,34523,34559,36379,35171,35434,35542
MEM_LOAD_UOPS_RETIRED.L1_MISS,r08d1:u,-0.489718664073,53153,52069,50749,46743,45695,47631,50660,50369,50730,55161,59599,60075,57885,59109,59869,61774
MEM_LOAD_UOPS_RETIRED.L2_MISS,r10d1:u,-0.39158914975,41276,38822,38055,36598,33722,35642,37677,37743,37134,40061,42491,42747,42167,42554,43051,43893
MEM_LOAD_UOPS_RETIRED.L3_MISS,r20d1:u,0.351258810299,995,708,633,932,458,817,654,597,553,815,258,669,606,474,481,573
MEM_LOAD_UOPS_RETIRED.HIT_LFB,r40d1:u,-0.268108386551,155391,153021,158425,161511,168733,156203,160298,165439,177523,154666,161907,166003,184064,154605,162878,166934
MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_MISS,r01d2:u,-0.502951718063,61,175,129,182,82,127,309,527,328,405,510,555,403,538,617,698
MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HIT,r02d2:u,0.370316565258,4379,4564,5186,4787,4038,4254,5088,4924,4353,4515,5095,4809,4221,4521,4868,4811
MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HITM,r04d2:u,0.0166134566148,742,1880,1915,1835,632,1788,1917,1942,722,1919,1998,1974,794,1958,2020,2014
MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_NONE,r08d2:u,-0.454509763742,34704,31726,30239,29242,27493,28170,29860,30594,31727,33214,34013,35178,36447,35434,35277,35618
MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM,r01d3:u,0.201387971452,1268,684,791,594,813,749,431,168,634,278,669,323,523,275,810,580
BACLEARS.ANY,r1fe6:u,0.147824183109,71,55,68,79,68,73,62,64,81,69,64,51,70,68,63,68
L2_TRANS.DEMAND_DATA_RD,r01f0:u,-0.249536254805,174139,176430,178406,179634,173947,178464,183098,181113,178415,180561,186100,190611,181552,178997,185326,185466
L2_TRANS.RFO,r02f0:u,0.22501662865,12876,14781,16208,16355,13140,15420,17345,16645,12731,14771,15537,16145,12602,14780,16187,15961
L2_TRANS.CODE_RD,r04f0:u,-0.167896626567,39,67,59,39,29,31,32,67,42,54,71,36,65,88,35,67
L2_TRANS.ALL_PF,r08f0:u,-0.0539600657724,179336,192060,197315,197503,190640,199678,209617,207344,192028,198034,204845,205670,194653,198367,205593,203481
L2_TRANS.L1D_WB,r10f0:u,-0.460329673366,3171,2799,3269,2705,4537,4955,5833,5673,7123,7108,7192,7509,8256,7046,7233,6642
L2_TRANS.L2_FILL,r20f0:u,0.0889982115871,225825,233521,236040,237140,230846,236072,240679,239587,230524,235619,243102,238332,229855,232485,240168,238614
L2_TRANS.L2_WB,r40f0:u,-0.273618267376,201,198,228,200,232,241,234,246,272,253,234,252,241,260,263,215
L2_TRANS.ALL_REQUESTS,r80f0:u,-0.0110326133313,673046,706891,714809,713434,695717,707339,735263,734822,699948,719686,757586,735770,698596,707810,733464,732616
L2_LINES_IN.I,r01f1:u,0.0346322055252,136,184,197,209,130,197,214,216,141,191,235,216,144,194,220,223
L2_LINES_IN.S,r02f1:u,-0.175924108152,177842,186604,185704,192185,185345,190468,191935,189484,186588,189826,195409,192051,188274,189615,191802,187321
L2_LINES_IN.E,r04f1:u,0.298908440966,45476,46477,50708,45162,46368,45515,48336,49917,43760,44527,45355,48152,42024,44589,47670,49473
L2_LINES_IN.ALL,r07f1:u,0.00107465031498,223436,233258,236607,237557,231849,236180,240489,239613,230488,234547,240989,240435,230457,234400,239700,237001
L2_LINES_OUT.DEMAND_CLEAN,r05f2:u,0.215404430337,130478,136028,137507,136809,131506,133430,136930,137085,130077,132899,136371,136584,129804,133046,136570,135357
L2_LINES_OUT.DEMAND_DIRTY,r06f2:u,-0.221001205066,110,116,134,108,112,103,122,118,127,121,112,127,117,125,129,132
